0x00	Potion
0x01	Hi-Potion
0x02	X-Potion
0x03	Ether
0x04	Hi-Ether
0x05	Elixer
0x06	Phoenix Down
0x07	Gold Needle
0x08	Echo Herbs
0x09	Antidote
0x0A	Eyedrops
0x0B	Alarm Clock
0x0C	Handkerchief
0x0D	Chronos Tear
0x0E	Smelling Salts
0x0F	Vaccine
0x10	Remedy
0x11	Red Fang
0x12	Blue Fang
0x13	White Fang
0x14	Bacchus's Wine
0x15	Megalixer
0x2B	Dark Mote
0x2C	Water Mote
0x2D	Aero Mote
0x2E	Holy Mote
0x2F	Scathe Mote
0x30	Balance Mote
0x31	Hastega Mote
0x32	Reflectga Mote
0x33	Vanishga Mote
0x34	Float Mote
0x35	Warp Mote
0x3D	Eksir Berries
0x3E	Dark Matter
0x3F	Knot Of Rust
0xFFFF	-
